-698,127,691,24360,46340,-2380,2
-861,145,810,-9380,-2380,-4760,2
-868,200,706,-27860,-64890,-10850,2
-479,0,722,-79870,-138810,-12390,2
-80,-252,807,-92050,-143990,-18620,2
122,-463,909,-58800,-73220,-7140,2
217,-548,1006,-16380,-22470,-4270,2
299,-534,994,22120,20440,5180,2
140,-412,841,105000,154210,50610,2
-429,-77,698,118790,151410,17290,2
-737,144,636,73360,72520,-6370,2
-851,193,644,29400,44100,2450,2
-839,240,706,-2940,-8190,1750,2
-942,249,622,-25480,-55370,-1890,2
-539,82,690,-72240,-122150,-13300,2
-205,-185,784,-101850,-109200,8820,2
-50,-347,818,-91000,-128310,-14910,2
263,-554,981,-19180,-25340,10010,2
246,-662,1013,26460,29190,2660,2
245,-553,872,81900,119280,38080,2
-280,-312,753,103950,147490,13720,2
-673,84,594,84070,112280,3710,2
-891,275,619,42840,61530,770,2
-1004,225,690,-1400,-11970,-840,2
-971,205,649,-45290,-102200,-25480,2
-464,-61,708,-89600,-143500,-6790,2
-84,-249,728,-99610,-158410,-26180,2
290,-552,850,-73850,-91490,7770,2
472,-737,1001,-23380,-25550,-6020,2
366,-572,871,56770,64260,15890,2
155,-430,832,85330,138180,29680,2
-249,-222,710,114030,171150,32340,2
-706,99,613,82460,111160,-630,2
-917,205,639,19600,45640,-2380,2
-945,207,698,-12810,-30940,-10710,2
-917,189,624,-36470,-83860,-25270,2
-614,42,664,-79590,-142240,-36260,2
-377,-204,790,-91140,-157990,-42840,2
192,-449,776,-99540,-194810,-55020,2
628,-649,875,-52850,-81760,-5530,2
640,-691,852,13720,9380,1540,2
411,-577,813,50820,109270,28000,2
0,-367,808,94710,161140,36750,2
-397,-160,711,108710,174720,35280,2
-808,132,632,66850,96040,-12110,2
-884,177,699,21770,25760,7140,2
-959,211,670,-22890,-45570,3920,2
-503,39,700,-84420,-153440,-1330,2
-168,-193,706,-108010,-185080,-46480,2
389,-437,802,-75110,-174650,-31500,2
746,-639,854,-23450,-50540,3360,2
665,-553,788,30590,45990,8190,2
351,-455,735,104720,211470,57750,2
-194,-291,763,103530,197750,42910,2
-747,75,627,93940,100590,-13370,2
-865,126,734,31920,59010,4340,2
-946,167,724,140,-280,4970,2
-844,118,704,-36260,-96460,-10360,2
-446,-71,742,-75110,-177450,-32340,2
-28,-315,811,-83790,-168140,-10150,2
379,-576,825,-82600,-157990,-18200,2
601,-541,815,-27580,-30870,15050,2
728,-624,811,15330,38220,18830,2
400,-471,767,89110,165410,41370,2
36,-352,727,95760,231700,53480,2
-690,-18,643,88130,176330,23590,2
-939,98,707,29750,61600,-12180,2
-889,108,770,-8330,-27930,7280,2
